Site,,,Address,Dolium no.,Ext. rim diam.,Int. rim diam.,wall thickness,Volume (amph),Volume (l),how vol indicated,Height,pres. height,depth,pres depth,ext belly diameter ,int belly diameter,base diameter,size (sm/med/lrg),type (spherical/cylindrical),Repairs/Modifications,Fill - I,Mat.,Stage,Fill - E,Mat. 2,Stage 2,DD - I,Mat. 3,Stage 3,DD - E,Mat. 4,Stage 4,DDT - I,Mat. 5,Stage 5,DDT - E,Mat. 6,Stage 6,Staple,Mat. 7,Stage 7,Clamp,Mat. 8,Stage 8,Hybrid,Mat. 9,Stage 9,Types of Repairs,Lead,Lead Alloy,Both,Iron in Lead,Production Phase,Use Life,Both of last two,Unknown,Modifications,Stamp,Incision,context,contents?,Notes,Other,
Pompei ,14.492,40.749,I.22,7 (PALHIP0156),47,28.5,--,,192,calculated,94,--,,,75,69,22,small,Spherical,Y,Y,L,U,--,--,--,--,--,--,--,--,--,--,--,--,Y,NA,U,Y,L,U,--,--,--,Y,--,--,4,Y,Y,Y,,--,Y,--,--,--,--,--,,,,,
Pompei ,14.492,40.749,I.22,8 (PALHIP0157),--,37,3,,229,calculated,86,--,--,--,86,--,18,small,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,--,--,,,,,
Pompei ,14.492,40.749,I.22,9 (PALHIP0158),48.5,29.5,3.5,,133,calculated,84,--,--,--,77,--,19,small,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,--,--,,,,,
Pompei ,14.492,40.749,I.22,10 (PALHIP0159),--,--,3.85,,--,--,--,30,--,--,--,--,,,Unknown,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,--,--,,,,,
Pompei ,14.492,40.749,I.22,11 (PALHIP0160),,,,,,,,19,,,,,,,Unknown,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,--,--,,,,,
Pompei ,14.492,40.749,I.22,12 (PALHIP0161),,,,,,,,,,,,,17,,Unknown,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,--,--,,,,,
Pompei ,14.492,40.749,I.22,13 (PALHIP0162),,,,,,,,9.3,,,,,,,BASIN,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,--,--,,,,,
Pompei ,14.492,40.749,I.22,14 (PALHIP0163),,,3.1,,,,,,,,,,,,Spherical,Y,--,--,--,--,--,--,--,--,--,Y,NA,P,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,--,--,,--,--,--,--,--,--,--,,,,,
Pompei ,14.492,40.749,I.22,15 (PALHIP0164),,,4,,,,,,,,,,18,,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,--,--,,,,,
Pompei ,14.492,40.749,I.22,16 (PALHIP0165),,,3.2,,,,,,,,,,,,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,--,--,,,,,
Pompei ,14.492,40.749,I.22,17 (PALHIP0166),,,3.8,,,,,,,,,,,,Spherical,Y,--,--,--,--,--,--,--,--,--,Y,NA,P,--,--,--,Y,NA,P,--,--,--,--,--,--,--,--,--,2,--,--,--,,Y,--,--,--,--,--,--,,,,,
Pompei ,14.492,40.749,I.22,18 (PALHIP0167),,,4,,,,,,,,,,,,Spherical,Y,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Y,L,P,--,--,--,1,Y,--,--,,Y,--,--,--,--,--,--,,,,,
